State/Territory,Biomass (MW),Small hydro (MW),Large hydro (MW),Wind (MW),Solar (MW),Total,Solar (% on grid),Solar (% rooftop)
Andaman & Nicobar,0,5.25,0,0,29.91,35.16,99.1,15.49
Andhra Pradesh,566.04,162.11,1673.6,4096.65,4506.66,11005.06,98.04,3.64
Arunachal Pradesh,0,133.11,544.55,0,11.23,688.89,49.96,77.36
Assam,2,34.11,522.08,0,147.92,706.11,93.62,24.18
Bihar,126.02,70.7,110,0,190.76,497.48,88.84,18.03
Chandigarh,0,0,101.71,0,57.84,159.55,98.6,88.88
Chhatisgarh,275,76,233,0,798.34,1382.34,51.56,11.46
Dadar & Nagar Haveli,0,0,0,0,5.46,5.46,100,54.4
Daman & Diu,0,0,0,0,41.01,41.01,100,75.25
Delhi,59,0,723.09,0,211.12,993.21,99.31,95.73
Goa,0.34,0.05,2,0,26.4,28.79,99.55,96.39
Gujarat,110.73,89.39,772,9798.52,8045.58,18816.22,99.46,24.46
Haryana,258.88,73.5,2324.62,0,954.65,3611.65,69.61,60
Himachal Pradesh,10.2,960.71,3248.88,0,87.35,4307.14,65.72,33.64
Jammu & Kashmir,,144.68,2321.88,0,48.56,2515.12,50.43,89.83
Jharkhand,4.3,4.05,191,0,93.58,292.93,57.98,64.89
Karnataka,1902.15,1280.73,3631.6,5268.15,7859.38,19942.01,99.61,4.88
Kerala,2.5,266.52,1864.15,62.5,653.97,2849.64,96.83,54.76
Ladakh,0,39.64,0,0,7.8,47.44,100,23.08
Lakshwadeep,0,0,0,0,3.27,3.27,22.94,0
Madhya Pradesh,131.75,99.71,3223.66,2844.29,2762.14,9061.55,97.04,8.26
Maharashtra,2636.42,381.08,3331.84,5012.83,3391.63,14753.8,97.05,36.53
Manipur,0,5.45,87.24,0,12.28,104.97,51.79,100
Meghalaya,13.8,32.53,417.38,0,4.15,467.86,5.06,100
Mizoram,0,41.47,97.94,0,8.01,147.42,20.72,93.98
Nagaland,0,31.67,66.33,0,3.04,101.04,32.89,100
Odisha,59.22,115.63,2163.22,0,452.67,2790.74,93.94,5.09
Pondicherry,0,0,0,0,35.53,35.53,99.49,97.74
Punjab,498.94,176.1,3818.28,0,1127.07,5620.39,93.28,21.19
Rajasthan,125.08,23.85,1941.93,4576.82,15283.66,21951.34,96.87,5.64
Sikkim,0,55.11,633,0,4.68,692.79,58.97,100
Tamil Nadu,1042.7,123.05,2178.2,9873.92,6233.36,19451.23,99.04,5.97
Telangana,219.74,90.87,2479.93,128.1,4637.39,7556.03,99.81,5.79
Tripura,0,16.01,68.49,0,16.26,100.76,57.87,46.87
Uttar Pradesh,2192.89,49.1,3424.03,0,2264.78,7930.8,94.06,12.15
Uttarakhand,139.44,218.82,2095.89,0,575.45,3029.6,97.51,46.82
West Bengal,323.7,98.5,1396,0,176.03,1994.23,92.62,32.53
Total ,10700.84,4899.5,45687.52,41661.78,60768.92,163718.56,96.61,12.8
