,Hydro,Small Hydro,Wind,Bio Cogen,Bio Waste,Solar
31-Dec-16,44189.43,4333.86,28700.44,7856.94,114.08,9012.69
31-Mar-17,44478.42,4379.86,32279.77,8181.7,114.08,12288.83
30-Jun-17,44614.42,4384.55,32508.17,8181.7,114.08,13114.85
30-Sep-17,44765.42,4389.55,32700.64,8181.7,114.08,14771.69
31-Dec-17,44963.42,4418.15,32848.46,8413.8,114.08,17052.41
31-Mar-18,45293.42,4485.81,34046,8700.8,138.3,21651.48
30-Jun-18,45403.42,4493.2,34293.48,8700.8,138.3,23022.83
30-Sep-18,45487.42,4506.95,34615.1,8730.8,138.3,24021.66
31-Dec-18,45399.22,4517.45,35138.15,9075.5,138.3,25212.26
31-Mar-19,45399.22,4593.15,35625.97,9103.5,138.3,28180.71
30-Apr-19,45399.22,4594.15,35815.88,9131.5,138.3,28679.21
31-May-19,45399.22,4603.75,36089.12,9131.5,138.3,29409.25
31-Jul-19,45399.22,4604.8,36686.82,9131.5,138.3,30071.38
31-Aug-18,45399.22,4608.81,36750.42,9131.5,139.8,30708.85
30-Sep-19,45399.22,4610.81,36930.32,9806.31,139.8,31101.71
31-Oct-19,45399.22,4647.11,37090.02,9806.31,139.8,31696.26
30-Nov-19,45399.22,4647.56,37278.68,9806.31,139.8,32527.55
31-Dec-19,45399.22,4671.56,37505.18,9861.31,139.8,33730.56
31-Jan-20,45399.22,4676.56,37607.7,9861.31,139.8,34035.66
29-Feb-20,45399.22,4683.16,37669.25,9861.31,139.8,34405.67
31-Mar-20,45699.22,4683.16,37693.75,9875.31,147.64,34627.82
30-Apr-20,45699.22,4683.16,37745.85,9880.31,147.64,34811.78
31-May-20,45699.22,4683.16,37756.35,9880.31,148.84,34915.36
30-Jun-20,45699.22,4688.16,37829.55,9880.31,148.84,35122.33
31-Jul-20,45699.22,4712.17,37940.95,9936.65,148.84,35303.3
31-Aug-20,45699.22,4739.97,37999.55,10145.92,168.64,35739.35
30-Sep-20,45699.22,4739.97,38124.15,10145.92,168.64,36050.74
31-Oct-20,45699.22,4740.47,38263.05,10145.92,168.64,36317.57
30-Nov-20,45699.22,4740.47,38433.55,10145.92,168.64,36910.53
31-Dec-20,45798.22,4750.455,38624.15,10145.92,168.64,37464.64
31-Jan-21,46059.22,4758.455,38683.65,10145.92,168.64,38794.07
28-Feb-21,46209.22,4783.055,38789.15,10145.92,168.64,39083.71
31-Mar-21,46209.22,4786.805,39247.05,10145.92,168.64,40085.37
30-Apr-21,46209.22,4786.805,39410.45,10145.92,168.64,40500.77
31-May-21,46209.22,4786.805,39442.25,10170.92,168.64,41087.63
30-Jun-21,46322.22,4793.805,39486.65,10170.92,168.64,42335.49
31-Jul-21,46367.22,4794.605,39588.85,10170.92,388.22,43940.12
31-Aug-21,46412.22,4807.805,39691.15,10170.92,401.84,45611.91
30-Sep-21,46512.22,4809.805,39870.45,10175.61,401.84,46275.14
31-Oct-21,46512.22,4821.805,39990.1,10175.61,401.84,47665.89
30-Nov-21,46512.22,4831.345,40033.6,10175.61,434.11,48556.64
31-Dec-21,46512.22,4839.395,40082.7,10175.61,434.11,49346.71
31-Jan-22,46512.22,4839.895,40100.93,10175.61,434.11,50303.58
28-Feb-22,46524.52,4839.895,40129.78,10175.61,451.57,50777.77
31-Mar-22,46722.52,4848.895,40357.58,10205.61,476.75,53996.54
30-Apr-22,46722.52,4850.895,40528.08,10205.61,476.75,55337.66
31-May-22,46722.52,4886.395,40706.38,10205.61,476.75,56951.33
30-Jun-22,46850.17,4887.895,40788.03,10205.61,476.75,57705.72
31-Jul-22,46850.17,4887.895,40893.33,10205.61,476.75,57973.78
31-Aug-22,46850.17,4887.895,41204.68,10205.61,476.75,59302.7
30-Sep-22,46850.18,4899.495,41666.08,10205.61,495.23,60813.9
31-Oct-21,46850.18,4923.495,41843.98,10205.61,495.23,61624.27
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
